Title,MiniMill Exy,,,,,,,,,,,,
Operator,88h,,,,,,,,,,,,
Date,9/23/2024 10:00,,,,,,,,,,,,
,,,,,,,,,,,,,
Machine information,,,,,,,,,,,,,
Name,OpenSource MiniMill,,,,,,,,,,,,
Serial number,1,,,,,,,,,,,,
Axis under test,X,,,,,,,,,,,,
,,,,,,,,,,,,,
Test method,,,,,,,,,,,,,
Target sequence,Linear,,,,,,,,,,,,
Run sequence,Alternate,,,,,,,,,,,,
Run type,Bidirectional,,,,,,,,,,,,
Targets/Run,12,,,,,,,,,,,,
Number of runs,3,,,,,,,,,,,,
Number of channels,1,,,,,,,,,,,,
 ,,,,,,,,,,,,,
XRY,microradians,,,,,,,,,,,,
Index,Targets (mm),Run 1 (+) Error,Run 1 (+) Time stamp,Run 1 (-) Error,Run 1 (-) Time stamp,Run 2 (+) Error,Run 2 (+) Time stamp,Run 2 (-) Error,Run 2 (-) Time stamp,Run 3 (+) Error,Run 3 (+) Time stamp,Run 3 (-) Error,Run 3 (-) Time stamp
1,-220,5.1,10:00:06 AM,-0.7,10:02:53 AM,-0.7,10:03:00 AM,-1.3,10:06:19 AM,-1.6,10:06:27 AM,-0.9,10:08:50 AM
2,-200,10.3,10:00:19 AM,11.3,10:02:45 AM,12.4,10:03:06 AM,9.9,10:06:12 AM,10.9,10:06:34 AM,10.9,10:08:44 AM
3,-180,43.9,10:00:25 AM,40.6,10:02:37 AM,41.6,10:03:15 AM,42,10:06:00 AM,42.2,10:06:39 AM,39.3,10:08:38 AM
4,-160,98.3,10:00:32 AM,96.3,10:02:30 AM,96.1,10:03:21 AM,92,10:05:53 AM,91.8,10:06:47 AM,93.1,10:08:33 AM
5,-140,144.7,10:00:39 AM,139,10:02:24 AM,143.3,10:03:28 AM,138.7,10:05:45 AM,138.5,10:06:54 AM,135.4,10:08:27 AM
6,-120,168.1,10:00:46 AM,168.6,10:02:17 AM,166.5,10:03:34 AM,166.2,10:05:37 AM,165.1,10:07:03 AM,164,10:08:22 AM
7,-100,184.5,10:00:53 AM,184.4,10:02:09 AM,182.5,10:03:38 AM,182.4,10:05:30 AM,184.9,10:07:15 AM,182.6,10:08:16 AM
8,-80,178.9,10:01:01 AM,176.5,10:02:01 AM,175.6,10:03:44 AM,176.3,10:05:16 AM,175.2,10:07:23 AM,177.5,10:08:11 AM
9,-60,146.2,10:01:09 AM,143.1,10:01:54 AM,142.2,10:03:50 AM,139.7,10:05:02 AM,139.2,10:07:29 AM,138.5,10:08:05 AM
10,-40,120.4,10:01:15 AM,121.3,10:01:46 AM,122.6,10:04:11 AM,119.8,10:04:54 AM,119.7,10:07:35 AM,116.1,10:08:00 AM
11,-20,72.9,10:01:20 AM,70.6,10:01:40 AM,69.8,10:04:24 AM,67.5,10:04:42 AM,68.3,10:07:40 AM,65.6,10:07:56 AM
12,0,-4.6,10:01:27 AM,-1.7,10:01:35 AM,1.8,10:04:30 AM,0.7,10:04:37 AM,1.8,10:07:45 AM,2,10:07:51 AM
,,,,,,,,,,,,,
Test equipment,,,,,,,,,,,,,
Renishaw XL-80,,,,,,,,,,,,,
Manufacturer,Renishaw plc,,,,,,,,,,,,
Model,Renishaw XL-80,,,,,,,,,,,,
Serial number,2NMA84,,,,,,,,,,,,
Calibration date,1/25/2021 0:00,,,,,,,,,,,,
Certificate number,2NMA84-210125-00,,,,,,,,,,,,
Calibration organization,Renishaw Inc,,,,,,,,,,,,
,,,,,,,,,,,,,
Renishaw XC-80,,,,,,,,,,,,,
Manufacturer,Renishaw plc,,,,,,,,,,,,
Model,Renishaw XC-80,,,,,,,,,,,,
Serial number,2YNH13,,,,,,,,,,,,
Calibration date,1/25/2021 0:00,,,,,,,,,,,,
Certificate number,2YNH13-210125-00,,,,,,,,,,,,
Calibration organization,Renishaw PLC,,,,,,,,,,,,
,,,,,,,,,,,,,
AirTemperature,,,,,,,,,,,,,
Manufacturer,Renishaw plc,,,,,,,,,,,,
Model,AirTemperature,,,,,,,,,,,,
Serial number,23J127,,,,,,,,,,,,
Calibration date,1/25/2021 0:00,,,,,,,,,,,,
Certificate number,20210125-23J127-00,,,,,,,,,,,,
Calibration organization,Renishaw plc,,,,,,,,,,,,
,,,,,,,,,,,,,
AirPressure,,,,,,,,,,,,,
Manufacturer,Renishaw plc,,,,,,,,,,,,
Model,AirPressure,,,,,,,,,,,,
Serial number,23J081,,,,,,,,,,,,
Calibration date,1/25/2021 0:00,,,,,,,,,,,,
Certificate number,20210125-23J081-00,,,,,,,,,,,,
Calibration organization,Renishaw plc,,,,,,,,,,,,
,,,,,,,,,,,,,
MaterialTemperature1,,,,,,,,,,,,,
Manufacturer,Renishaw plc,,,,,,,,,,,,
Model,MaterialTemperature1,,,,,,,,,,,,
Serial number,23H984,,,,,,,,,,,,
Calibration date,1/25/2021 0:00,,,,,,,,,,,,
Certificate number,20210125-23H984-00,,,,,,,,,,,,
Calibration organization,Renishaw plc,,,,,,,,,,,,
,,,,,,,,,,,,,
Sensor,Start reading,End reading,Min reading,Max reading,,,,,,,,,
Air temp [°C],23.3,23.3,23.2,23.3,,,,,,,,,
Air pressure [mbar],975,975,975,975,,,,,,,,,
Air humidity [%RH],60,60,60,60,,,,,,,,,
Material temp 1 [°C],23.5,23.4,23.4,23.5,,,,,,,,,
Material temp 2 [°C],Not recorded,Not recorded,,,,,,,,,,,
Material temp 3 [°C],Not recorded,Not recorded,,,,,,,,,,,
