Title,MiniMill Sxz,,,,,,,,,,,,
Operator,88h,,,,,,,,,,,,
Date,9/24/2024 9:30,,,,,,,,,,,,
,,,,,,,,,,,,,
Machine information,,,,,,,,,,,,,
Name,OpenSource MiniMill,,,,,,,,,,,,
Serial number,1,,,,,,,,,,,,
Axis under test,X,,,,,,,,,,,,
,,,,,,,,,,,,,
Test method,,,,,,,,,,,,,
Target sequence,Linear,,,,,,,,,,,,
Run sequence,Alternate,,,,,,,,,,,,
Run type,Bidirectional,,,,,,,,,,,,
Targets/Run,12,,,,,,,,,,,,
Number of runs,3,,,,,,,,,,,,
Number of channels,1,,,,,,,,,,,,
 ,,,,,,,,,,,,,
XTZ,micrometres,,,,,,,,,,,,
Index,Targets (mm),Run 1 (+) Error,Run 1 (+) Time stamp,Run 1 (-) Error,Run 1 (-) Time stamp,Run 2 (+) Error,Run 2 (+) Time stamp,Run 2 (-) Error,Run 2 (-) Time stamp,Run 3 (+) Error,Run 3 (+) Time stamp,Run 3 (-) Error,Run 3 (-) Time stamp
1,-220,0,9:30:35 AM,0,9:34:26 AM,0,9:34:36 AM,0,9:38:14 AM,0,9:38:25 AM,0,9:42:01 AM
2,-200,3.2,9:31:12 AM,3.6,9:34:17 AM,3.6,9:34:45 AM,3.7,9:38:05 AM,4,9:38:34 AM,3.2,9:41:53 AM
3,-180,9.8,9:31:34 AM,9.5,9:34:10 AM,10.2,9:34:55 AM,9.2,9:37:55 AM,9.4,9:38:41 AM,9.4,9:41:42 AM
4,-160,17.7,9:31:44 AM,17.2,9:34:01 AM,17.4,9:35:05 AM,17.4,9:37:44 AM,17.4,9:38:50 AM,17.4,9:41:33 AM
5,-140,23.5,9:31:51 AM,24,9:33:52 AM,24.1,9:35:15 AM,24.1,9:37:37 AM,24.1,9:39:00 AM,23.8,9:41:25 AM
6,-120,28.8,9:32:01 AM,28.9,9:33:43 AM,29.4,9:35:25 AM,28.7,9:37:26 AM,29.1,9:39:09 AM,29.5,9:41:15 AM
7,-100,32.5,9:32:08 AM,32,9:33:35 AM,32.5,9:35:34 AM,32.3,9:37:16 AM,32.3,9:39:19 AM,32,9:41:05 AM
8,-80,29.5,9:32:17 AM,29,9:33:27 AM,29.5,9:35:47 AM,29,9:37:08 AM,29.4,9:39:28 AM,29,9:40:54 AM
9,-60,26,9:32:25 AM,25.2,9:33:19 AM,26.5,9:35:56 AM,25.5,9:36:59 AM,26.4,9:39:35 AM,25.7,9:40:44 AM
10,-40,18.7,9:32:31 AM,19.5,9:33:10 AM,20.5,9:36:05 AM,19.7,9:36:51 AM,20.2,9:39:44 AM,19.6,9:40:33 AM
11,-20,4.5,9:32:37 AM,9.6,9:33:02 AM,10.2,9:36:14 AM,9.9,9:36:42 AM,10.2,9:39:55 AM,9.8,9:40:25 AM
12,0,0,9:32:45 AM,0,9:32:53 AM,0,9:36:24 AM,0,9:36:33 AM,0,9:40:07 AM,0,9:40:16 AM
,,,,,,,,,,,,,
Test equipment,,,,,,,,,,,,,
Renishaw XL-80,,,,,,,,,,,,,
Manufacturer,Renishaw plc,,,,,,,,,,,,
Model,Renishaw XL-80,,,,,,,,,,,,
Serial number,2NMA84,,,,,,,,,,,,
Calibration date,1/25/2021 0:00,,,,,,,,,,,,
Certificate number,2NMA84-210125-00,,,,,,,,,,,,
Calibration organization,Renishaw Inc,,,,,,,,,,,,
,,,,,,,,,,,,,
Renishaw XC-80,,,,,,,,,,,,,
Manufacturer,Renishaw plc,,,,,,,,,,,,
Model,Renishaw XC-80,,,,,,,,,,,,
Serial number,2YNH13,,,,,,,,,,,,
Calibration date,1/25/2021 0:00,,,,,,,,,,,,
Certificate number,2YNH13-210125-00,,,,,,,,,,,,
Calibration organization,Renishaw PLC,,,,,,,,,,,,
,,,,,,,,,,,,,
AirTemperature,,,,,,,,,,,,,
Manufacturer,Renishaw plc,,,,,,,,,,,,
Model,AirTemperature,,,,,,,,,,,,
Serial number,23J127,,,,,,,,,,,,
Calibration date,1/25/2021 0:00,,,,,,,,,,,,
Certificate number,20210125-23J127-00,,,,,,,,,,,,
Calibration organization,Renishaw plc,,,,,,,,,,,,
,,,,,,,,,,,,,
AirPressure,,,,,,,,,,,,,
Manufacturer,Renishaw plc,,,,,,,,,,,,
Model,AirPressure,,,,,,,,,,,,
Serial number,23J081,,,,,,,,,,,,
Calibration date,1/25/2021 0:00,,,,,,,,,,,,
Certificate number,20210125-23J081-00,,,,,,,,,,,,
Calibration organization,Renishaw plc,,,,,,,,,,,,
,,,,,,,,,,,,,
MaterialTemperature1,,,,,,,,,,,,,
Manufacturer,Renishaw plc,,,,,,,,,,,,
Model,MaterialTemperature1,,,,,,,,,,,,
Serial number,23H984,,,,,,,,,,,,
Calibration date,1/25/2021 0:00,,,,,,,,,,,,
Certificate number,20210125-23H984-00,,,,,,,,,,,,
Calibration organization,Renishaw plc,,,,,,,,,,,,
,,,,,,,,,,,,,
Sensor,Start reading,End reading,Min reading,Max reading,,,,,,,,,
Air temp [°C],24,23.8,23.8,24,,,,,,,,,
Air pressure [mbar],973.8,973.8,973.8,973.8,,,,,,,,,
Air humidity [%RH],58,59,58,59,,,,,,,,,
Material temp 1 [°C],23.9,23.8,23.8,23.9,,,,,,,,,
Material temp 2 [°C],Not recorded,Not recorded,,,,,,,,,,,
Material temp 3 [°C],Not recorded,Not recorded,,,,,,,,,,,
